OXY,EMG,ECG,RSP,OXY,OXY,OXY,
PO2,mV,mV,V,Pulse,BPM,Status,
CH1,CH2,CH3,CH4,CH5,CH9,CH13,
96.002,-0.283997,-1.73419,8.97766,-5.65895,74.2548,0.00478657,
96.002,-0.108826,-1.87067,8.97766,-5.66802,74.2161,0.00478657,
96.0116,0.117554,-1.82037,8.97766,-5.6786,74.2354,0.00718031,
95.9828,0.304749,-1.60938,8.97736,-5.68163,74.2354,0.00718031,
96.0116,0.374451,-1.2793,8.97675,-5.69524,74.2548,0.00239283,
96.0116,0.466064,-0.884338,8.97766,-5.70128,74.2161,0.00478657,
96.002,0.467285,-0.487183,8.97736,-5.70431,74.2548,0.00957405,
96.0116,0.440674,-0.144531,8.97766,-5.70884,74.2161,0.00957405,
96.002,0.280273,0.100037,8.97736,-5.7164,74.2548,0.00718031,
95.9924,0.138794,0.213806,8.97766,-5.71943,74.2161,0.00957405,
95.9924,-0.0415039,0.175598,8.97705,-5.74664,74.2161,0.00957405,
95.9924,-0.260254,-0.0141602,8.97766,-5.7784,74.2354,0.00718031,
96.002,-0.42804,-0.332947,8.97827,-5.8041,74.2354,0.0119678,
95.9924,-0.510803,-0.738892,8.97766,-5.83132,74.1968,0.00957405,
96.0116,-0.559448,-1.17877,8.97797,-5.84946,74.2354,0.00957405,
96.002,-0.517395,-1.58618,8.97736,-5.87668,74.2548,0.00478657,
96.0211,-0.401306,-1.90314,8.97827,-5.89029,74.2161,0.00239283,
95.9924,-0.23877,-2,8.97736,-5.90843,74.2161,0.00718031,
96.002,-0.0180664,-2,8.97766,-5.92355,74.2354,0.00478657,
96.0116,0.204041,-1.96588,8.97766,-5.93867,74.2548,0.00957405,
96.0116,0.321594,-1.67767,8.97736,-5.94926,74.2354,0.00957405,
96.0116,0.419067,-1.2771,8.97705,-5.96135,74.1774,0.00718031,
96.0116,0.467224,-0.815918,8.97736,-5.97194,74.2354,0.00957405,
96.0116,0.454346,-0.3573,8.97736,-5.98252,74.2161,0.00718031,
96.0116,0.397278,0.0386353,8.97797,-5.99008,74.1968,0.0119678,
95.9924,0.230835,0.319214,8.97736,-5.99613,74.2161,0.00478657,
96.0116,0.0643921,0.439758,8.97766,-6.00369,74.1968,0.0143615,
96.0116,-0.11615,0.380798,8.97705,-6.01125,74.2161,0.00957405,
96.0116,-0.296814,0.15448,8.97705,-6.0173,74.2354,0.00957405,
96.002,-0.419983,-0.198486,8.97736,-6.02184,74.2741,0.0119678,
95.9828,-0.510315,-0.620605,8.97705,-6.0294,74.1968,0.00478657,
96.0116,-0.541626,-1.04999,8.97705,-6.04754,74.1968,0.00718031,
96.0403,-0.481262,-1.42468,8.97766,-6.0808,74.2354,0.00478657,
96.002,-0.311646,-1.69257,8.97705,-6.10953,74.2161,0.00957405,
96.002,-0.181885,-1.81183,8.97675,-6.13524,74.2161,0.00478657,
96.0116,0.0501099,-1.76324,8.97736,-6.15792,74.2354,0.00718031,
96.002,0.231934,-1.55219,8.97705,-6.17909,74.2161,0.00239283,
95.9924,0.369263,-1.2005,8.97675,-6.20177,74.2354,0.00718031,
96.002,0.441772,-0.75,8.97675,-6.21991,74.2548,0.00478657,
96.0116,0.477234,-0.260132,8.97766,-6.23352,74.1968,0.00239283,
95.9924,0.477051,0.199585,8.97675,-6.24713,74.2548,0.00478657,
96.002,0.33551,0.568604,8.97705,-6.26225,74.2161,0.00957405,
96.0116,0.215637,0.799377,8.97705,-6.27132,74.2548,0.00957405,
96.002,-0.00146484,0.858948,8.97766,-6.28191,74.2161,0.00718031,
96.0116,-0.202332,0.741882,8.97736,-6.29249,74.2161,0.00718031,
96.002,-0.365723,0.470093,8.97736,-6.30005,74.2548,0.00957405,
96.002,-0.461731,0.0880127,8.97736,-6.30761,74.2354,0.00957405,
96.002,-0.510803,-0.343079,8.97705,-6.31517,74.1774,0.00957405,
95.9732,-0.500488,-0.754089,8.97705,-6.32424,74.2548,0.00718031,
95.9924,-0.440735,-1.08978,8.97705,-6.32727,74.1774,0.00239283,
95.9924,-0.264648,-1.30719,8.97736,-6.33331,74.2354,0.00718031,
96.002,-0.116699,-1.37646,8.97644,-6.34087,74.2354,0.00718031,
96.002,0.113342,-1.29108,8.97705,-6.3439,74.1968,0.00718031,
96.002,0.2995,-1.05981,8.97766,-6.36507,74.1968,0.00957405,
96.0116,0.384888,-0.70752,8.97675,-6.38019,74.2548,0.00718031,
96.002,0.472534,-0.275269,8.97705,-6.39531,74.2354,0.00718031,
95.9924,0.467651,0.176392,8.97705,-6.40892,74.1968,0.00957405,
95.9924,0.415039,0.583862,8.97705,-6.42252,74.2354,0.00239283,
96.0116,0.285828,0.89032,8.97766,-6.43462,74.2354,0.00718031,
96.002,0.145569,1.05023,8.97736,-6.44521,74.2354,0.00478657,
96.002,-0.0827026,1.03699,8.97705,-6.45125,74.2548,0.00957405,
96.0116,-0.276489,0.853882,8.97736,-6.46335,74.1968,0.0143615,
95.9924,-0.40802,0.528503,8.97736,-6.47393,74.2354,0.00957405,
96.002,-0.504456,0.108704,8.97766,-6.47696,74.2161,0.00957405,
96.0116,-0.545166,-0.345581,8.97736,-6.48149,74.1968,-9.13153E-07,
96.002,-0.496338,-0.768372,8.97705,-6.48905,74.2161,0.00957405,
96.0116,-0.371216,-1.10278,8.97736,-6.49208,74.2548,0.00957405,
96.002,-0.232666,-1.30164,8.97705,-6.49359,74.2161,0.00478657,
96.0211,-0.0103149,-1.336,8.97675,-6.49964,74.2161,0.00478657,
96.0116,0.187561,-1.20538,8.97675,-6.50266,74.2354,0.00718031,
